structure	div	simpson	leaves	minCycle	maxCycle	beatLevel
[2,2]	1.000000	1.000000	4	1.0000	2.0000	1
[[2,2],[2,2]]	1.000000	1.000000	8	1.0000	4.0000	1
[[[2,2],[2,2]],[[2,2],[2,2]]]	1.000000	1.000000	16	1.6000	5.0000	2
[[2,3,3],[2,3,3]]	1.000000	0.777778	16	1.6000	5.0000	1
[[2,3,3],[3,2,3]]	1.000000	0.777778	16	1.6000	5.0000	1
[[2,3,3],[3,3,2]]	1.000000	0.777778	16	1.6000	5.0000	1
[[3,2,3],[2,3,3]]	1.000000	0.777778	16	1.6000	5.0000	1
[[3,2,3],[3,2,3]]	1.000000	0.777778	16	1.6000	5.0000	1
[[3,2,3],[3,3,2]]	1.000000	0.777778	16	1.6000	5.0000	1
[[3,3,2],[2,3,3]]	1.000000	0.777778	16	1.6000	5.0000	1
[[3,3,2],[3,2,3]]	1.000000	0.777778	16	1.6000	5.0000	1
[[3,3,2],[3,3,2]]	1.000000	0.777778	16	1.6000	5.0000	1
[[2,2,2],[2,2,2],[2,2]]	1.000000	0.600000	16	1.6000	5.0000	1
[[2,2,2],[2,2],[2,2,2]]	1.000000	0.600000	16	1.6000	5.0000	1
[[2,2],[2,2,2],[2,2,2]]	1.000000	0.600000	16	1.6000	5.0000	1
[[2,2],[3,3],[3,3]]	1.000000	0.600000	16	1.6000	5.0000	1
[[3,3],[2,2],[3,3]]	1.000000	0.600000	16	1.6000	5.0000	1
[[3,3],[3,3],[2,2]]	1.000000	0.600000	16	1.6000	5.0000	1
[[2,2,2],[2,2],[3,3]]	1.000000	0.500000	16	1.6000	5.0000	1
[[2,2,2],[3,3],[2,2]]	1.000000	0.500000	16	1.6000	5.0000	1
[[2,2],[2,2,2],[3,3]]	1.000000	0.500000	16	1.6000	5.0000	1
[[2,2],[3,3],[2,2,2]]	1.000000	0.500000	16	1.6000	5.0000	1
[[3,3],[2,2,2],[2,2]]	1.000000	0.500000	16	1.6000	5.0000	1
[[3,3],[2,2],[2,2,2]]	1.000000	0.500000	16	1.6000	5.0000	1
[[2,2],[2,2],[2,3,3]]	1.000000	0.466667	16	1.6000	5.0000	1
[[2,2],[2,2],[3,2,3]]	1.000000	0.466667	16	1.6000	5.0000	1
[[2,2],[2,2],[3,3,2]]	1.000000	0.466667	16	1.6000	5.0000	1
[[2,2],[2,3,3],[2,2]]	1.000000	0.466667	16	1.6000	5.0000	1
[[2,2],[3,2,3],[2,2]]	1.000000	0.466667	16	1.6000	5.0000	1
[[2,2],[3,3,2],[2,2]]	1.000000	0.466667	16	1.6000	5.0000	1
[[2,3,3],[2,2],[2,2]]	1.000000	0.466667	16	1.6000	5.0000	1
[[3,2,3],[2,2],[2,2]]	1.000000	0.466667	16	1.6000	5.0000	1
[[3,3,2],[2,2],[2,2]]	1.000000	0.466667	16	1.6000	5.0000	1
[[2,2,2],[2,3],[2,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,2,2],[2,3],[3,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,2,2],[3,2],[2,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,2,2],[3,2],[3,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,3],[2,2,2],[2,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,3],[2,2,2],[3,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,3],[2,3],[2,2,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,3],[2,3],[3,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,3],[3,2],[2,2,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,3],[3,2],[3,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,3],[3,3],[2,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[2,3],[3,3],[3,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,2],[2,2,2],[2,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,2],[2,2,2],[3,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,2],[2,3],[2,2,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,2],[2,3],[3,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,2],[3,2],[2,2,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,2],[3,2],[3,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,2],[3,3],[2,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,2],[3,3],[3,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,3],[2,3],[2,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,3],[2,3],[3,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,3],[3,2],[2,3]]	1.000000	0.400000	16	1.6000	5.0000	1
[[3,3],[3,2],[3,2]]	1.000000	0.400000	16	1.6000	5.0000	1
[2,3,3]	1.000000	0.333333	8	1.0000	4.0000	1
[3,2,3]	1.000000	0.333333	8	1.0000	4.0000	1
[3,3,2]	1.000000	0.333333	8	1.0000	4.0000	1
[[2,2,3],[3,3,3]]	1.000000	0.333333	16	1.6000	5.0000	1
[[2,3,2],[3,3,3]]	1.000000	0.333333	16	1.6000	5.0000	1
[[3,2,2],[3,3,3]]	1.000000	0.333333	16	1.6000	5.0000	1
[[3,3,3],[2,2,3]]	1.000000	0.333333	16	1.6000	5.0000	1
[[3,3,3],[2,3,2]]	1.000000	0.333333	16	1.6000	5.0000	1
[[3,3,3],[3,2,2]]	1.000000	0.333333	16	1.6000	5.0000	1
[[2,2,3],[2,2],[2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2,3],[2,2],[3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2,3],[2,3],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2,3],[3,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[2,2,3],[2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[2,2,3],[3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[2,3,2],[2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[2,3,2],[3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[2,3],[2,2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[2,3],[2,3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[2,3],[3,2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[3,2,2],[2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[3,2,2],[3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[3,2],[2,2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[3,2],[2,3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[3,2],[3,2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3,2],[2,2],[2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3,2],[2,2],[3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3,2],[2,3],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3,2],[3,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[2,2,3],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[2,2],[2,2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[2,2],[2,3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[2,2],[3,2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[2,3,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[3,2,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2,2],[2,2],[2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2,2],[2,2],[3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2,2],[2,3],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2,2],[3,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[2,2,3],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[2,2],[2,2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[2,2],[2,3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[2,2],[3,2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[2,3,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[3,2,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2,2],[2,2,2]]	0.733879	1.000000	12	1.2000	5.0000	1
[[2,2],[2,2],[2,2]]	0.733879	1.000000	12	1.2000	5.0000	1
[[3,3],[3,3]]	0.733879	1.000000	12	1.2000	5.0000	1
[[2,2,2],[3,3]]	0.733879	0.500000	12	1.2000	5.0000	1
[[3,3],[2,2,2]]	0.733879	0.500000	12	1.2000	5.0000	1
[[2,2],[2,3,3]]	0.733879	0.333333	12	1.2000	5.0000	1
[[2,2],[3,2,3]]	0.733879	0.333333	12	1.2000	5.0000	1
[[2,2],[3,3,2]]	0.733879	0.333333	12	1.2000	5.0000	1
[[2,3,3],[2,2]]	0.733879	0.333333	12	1.2000	5.0000	1
[[3,2,3],[2,2]]	0.733879	0.333333	12	1.2000	5.0000	1
[[3,3,2],[2,2]]	0.733879	0.333333	12	1.2000	5.0000	1
[[2,2,3],[2,3]]	0.733879	0.083333	12	1.2000	5.0000	1
[[2,2,3],[3,2]]	0.733879	0.083333	12	1.2000	5.0000	1
[[2,3,2],[2,3]]	0.733879	0.083333	12	1.2000	5.0000	1
[[2,3,2],[3,2]]	0.733879	0.083333	12	1.2000	5.0000	1
[[2,3],[2,2,3]]	0.733879	0.083333	12	1.2000	5.0000	1
